id;gender;age;height;education
1;F;49;1.94;High School
2;M;33;1.87;None
3;M;23;1.85;High School
4;F;32;1.71;Elementary
5;F;43;1.49;PhD
6;F;58;1.5;None
7;F;23;1.87;Elementary
8;F;70;2;High School
9;F;40;1.73;Master's
10;M;66;1.9;Elementary
11;M;53;1.83;PhD
12;F;32;1.72;Bachelor's
13;F;41;1.53;High School
14;F;20;1.87;None
15;M;57;1.88;None
16;M;71;1.54;High School
17;F;44;1.55;High School
18;F;45;1.82;Master's
19;M;65;1.95;PhD
20;F;46;1.92;Bachelor's
21;M;57;1.94;None
22;F;68;1.59;Elementary
23;M;52;1.7;PhD
24;M;26;1.77;Master's
25;F;32;1.9;Master's
26;F;26;1.84;Bachelor's
27;F;38;1.48;Elementary
28;M;43;1.55;None
29;F;23;1.84;Bachelor's
30;M;75;1.82;Elementary
31;M;67;1.5;High School
32;M;45;1.97;None
33;M;65;1.62;Master's
34;M;24;1.73;High School
35;F;59;1.56;Bachelor's
36;M;53;1.48;PhD
37;F;33;1.66;Master's
38;M;73;1.82;Bachelor's
39;M;74;1.65;PhD
40;F;75;1.89;None
41;M;36;1.73;Bachelor's
42;F;68;1.94;Master's
43;F;18;1.62;Elementary
44;M;74;1.82;High School
45;M;22;2.01;Elementary
46;F;55;1.82;Bachelor's
47;F;50;1.61;PhD
48;F;73;1.86;Master's
49;F;68;1.53;Master's
50;F;45;1.9;None
51;M;72;1.88;None
52;F;20;1.87;Master's
53;M;45;1.51;Elementary
54;F;44;1.59;None
55;F;56;1.81;None
56;M;34;2;Bachelor's
57;F;63;1.94;Master's
58;M;72;1.85;Elementary
59;F;70;1.75;None
60;F;19;1.63;Bachelor's
61;F;62;1.5;None
62;F;38;1.8;PhD
63;M;73;1.99;Bachelor's
64;M;66;1.94;Bachelor's
65;M;46;1.82;Master's
66;M;50;1.62;PhD
67;M;31;1.88;High School
68;F;60;1.54;None
69;F;29;1.83;PhD
70;M;51;1.85;Bachelor's
71;M;54;1.66;Bachelor's
72;M;67;1.49;None
73;M;24;1.75;Elementary
74;M;33;1.72;Master's
75;M;23;1.85;Elementary
76;M;76;1.69;Master's
77;F;27;1.57;PhD
78;F;67;1.52;Elementary
79;M;57;1.55;High School
80;F;46;1.87;High School
81;F;41;1.59;Elementary
82;M;29;1.62;High School
83;F;56;1.65;Elementary
84;M;55;1.63;PhD
85;F;44;1.75;None
86;F;56;1.81;None
87;M;23;1.63;Bachelor's
88;F;74;1.68;Master's
89;F;61;1.89;Elementary
90;F;44;1.87;High School
91;F;64;1.9;Bachelor's
92;M;25;1.78;None
93;M;70;1.92;Bachelor's
94;M;70;1.69;Elementary
95;M;63;1.72;Bachelor's
96;M;51;1.71;High School
97;F;44;1.47;None
98;F;33;1.67;Master's
99;M;45;1.79;Bachelor's
100;F;39;1.76;High School
101;F;50;1.46;Bachelor's
102;F;45;1.7;Master's
103;F;51;1.5;PhD
104;M;37;1.59;High School
105;M;21;1.54;None
106;M;46;1.58;None
107;F;36;1.51;PhD
108;F;57;1.79;Bachelor's
109;M;45;1.69;None
110;M;66;1.64;High School
111;M;34;1.63;High School
112;F;35;1.79;PhD
113;F;37;1.87;Bachelor's
114;M;35;1.51;High School
115;M;74;1.75;None
116;M;52;1.66;None
117;F;62;1.46;Master's
118;F;24;2;None
119;F;32;1.57;PhD
120;M;18;1.65;None
121;M;28;1.8;High School
122;F;21;1.92;None
123;F;66;1.74;High School
124;F;55;1.93;Bachelor's
125;M;58;1.55;PhD
